id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id,geschlecht
72,72,Jean-René,Fournier,,SR,CVP,VS,https://infocube.ch/de/p/p27003254264/bertelletto-duc-xavier,p27003254264,m
73,73,Olivier,Français,,NR,PLR.Les Libéraux-Radicaux,VD,,,m
74,74,Sebastian,Frehner,,NR,SVP,BS,,,m
75,75,Pankraz,Freitag,,SR,FDP.Die Liberalen,GL,0.0,0.0,m
76,76,Oskar,Freysinger,,NR,UDC,VS,,,m
77,77,Pierre-Alain,Fridez,,NR,PSS,JU,0.0,0.0,m
78,78,Claudia,Friedl,,SPS,SG,,0.0,0.0,w
79,79,Chantal,Galladé,,NR,SPS,ZH,0.0,0.0,w
80,80,Urs,Gasche,,NR,BDP,BE,http://infocube.ch/de/p/4243104/de-weck-roger-francois-philippe,4243104.0,m
81,81,Josias F.,Gasser,,NR,glp,GR,0.0,0.0,m
82,82,Andrea Martina,Geissbühler,,NR,SVP,BE,,,w
83,83,Jean-René,Germanier,,NR,PLR.Les Libéraux-Radicaux,VS,http://infocube.ch/de/p/4860527/schlaepfer-martin,4860527.0,m
84,84,Johannes,Germann,,SR,SVP,SH,0.0,0.0,m
85,85,Ulrich,Giezendanner,,NR,SVP,AG,http://infocube.ch/de/p/869641/gehrken-michael,869641.0,m
86,86,Yvonne,Gilli,,NR,GPS,SG,http://infocube.ch/de/p/33090/alther-rudolf,33090.0,w
87,87,Bastien,Girod,,NR,GPS,ZH,,,m
88,88,Ida,Glanzmann-Hunkeler,,NR,CVP,LU,,,w
89,89,Balthasar,Glättli,,NR,GPS,ZH,,,m
90,90,Alois,Gmür,,NR,CVP,SZ,,,m
91,91,Petra,Gössi,,NR,FDP.Die Liberalen,SZ,0.0,0.0,w
92,92,Konrad,Graber,,SR,CVP,LU,0.0,0.0,m
93,93,Maya,Graf,,NR,GPS,LU,,,w
94,94,Edith,Graf-Litscher,,NR,SPS,TG,,,w
95,95,Jean-Pierre,Grin,,NR,UDC,VD,http://infocube.ch/de/p/6238466/giunta-giovanni,6238466.0,m
96,96,Andreas,Gross,,NR,SPS,ZH,,,m
97,97,Jürg,Grossen,,NR,glp,BE,0.0,0.0,m
