id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
145,145,Christian,"Lüscher","",NR,"PLR.Les Libéraux-Radicaux",GE,"",""
146,146,Werner,"Luginbühl","",SR,BDP,BE,http://infocube.ch/de/p/5546035/muerner-martin,5546035.0
147,147,Ruedi,Lustenberger,"",NR,CVP,LU,"",""
148,148,Thomas,Maier,"",NR,glp,ZH,http://infocube.ch/de/p/5579517/zeyer-christian,5579517.0
149,149,"Jacques-André",Maire,"",NR,PSS,NE,"",""
150,150,Christa,Markwalder,"",NR,"FDP.Die Liberalen",BE,"",""
151,151,Ada,Marra,"",NR,PSS,VD,http://infocube.ch/de/p/6657780/hamdaoui-mohamed,6657780.0
152,152,Nadine,Masshardt,"",NR,SPS,BE,https://infocube.ch/de/p/6348926/schefer-andreas#activeMandates,6348926.0
153,153,Liliane,"Maury Pasquier","",SR,PSS,GE,"",""
154,154,Lucrezia,Meier-Schatz,"",NR,CVP,SG,"",""
155,155,Thomas,Minder,"",SR,0.0,SH,0.0,0.0
156,156,Isabelle,Moret,"",NR,"PLR.Les Libéraux-Radicaux",VD,"",""
157,157,Christoph,"Mörgeli","",NR,SVP,ZH,"",""
158,158,"Tiana Angelina",Moser,"",NR,glp,ZH,0.0,0.0
159,159,Geri,"Müller","",NR,GPS,AG,"",""
160,160,Leo,"Müller","",NR,CVP,LU,http://infocube.ch/de/p/702264/schwenk-oskar-j,702264.0
161,161,Philipp,"Müller","",NR,"FDP.Die Liberalen",AG,0.0,0.0
162,162,Thomas,"Müller","",NR,SVP,SG,http://infocube.ch/de/p/4692736/sommer-monika,4692736.0
163,163,Walter,"Müller","",NR,"FDP.Die Liberalen",SG,"",""
164,164,Stefan,"Müller-Altermatt","",NR,CVP,SO,0.0,0.0
165,165,Felix,"Müri","",NR,SVP,LU,0.0,0.0
166,166,Martin,Naef,"",NR,SPS,ZH,https://infocube.ch/de/p/p29002609056/herkenrath-marc,p29002609056
167,167,Jacques,Neirynck,"",NR,PDC,VD,0.0,0.0
168,168,Yves,Nidegger,"",NR,UDC,GE,http://infocube.ch/de/p/4127563/studer-marc,4127563.0
169,169,Paul,Niederberger,"",SR,CVP,NW,"",""
170,170,Roger,Nordmann,"",NR,PSS,VD,"",""
171,171,Ruedi,Noser,"",NR,"FDP.Die Liberalen",ZH,https://infocube.ch/de/p/4513204/hugi-andreas,4513204.0
172,172,Eric,Nussbaumer,"",NR,SPS,BL,https://infocube.ch/de/p/4010952/batzli-stefan,4010952.0
173,173,Roberta,Pantani,"",NR,Lega,TI,0.0,0.0
174,174,Corrado,Pardini,"",NR,SPS,BE,"",""
175,175,Guy,Parmelin,"",NR,UDC,VD,0.0,0.0
176,176,Fulvio,Pelli,"",NR,"PLR.Les Libéraux-Radicaux",TI,"",""
177,177,Yvan,Perrin,"",NR,UDC,NE,http://infocube.ch/de/p/527355/willener-walter,527355.0
178,178,Bruno,Pezzatti,"",NR,"FDP.Die Liberalen",ZG,http://infocube.ch/de/p/4178254/enggasser-josiane,4178254.0
179,179,Gerhard,Pfister,"",NR,CVP,ZG,"",""
180,180,Nadja,Pieren,"",NR,SVP,BE,http://infocube.ch/de/p/880278/gfeller-kurt,880278.0
181,181,"Valérie","Piller Carrard","",NR,PSS,FR,0.0,0.0
182,182,Mauro,Poggia,"",NR,MCR,GE,"",""
183,183,Rosmarie,Quadranti,"",NR,BDP,ZH,0.0,0.0
184,184,Lorenzo,Quadri,"",NR,Lega,TI,"",""
185,185,Paul,Rechsteiner,"",SR,SPS,SG,http://infocube.ch/de/p/33776/ambrosetti-renzo-carlo,33776.0
186,186,Luc,Recordon,"",SR,"Les Verts",VD,"",""
187,187,Fabio,Regazzi,"",NR,PPD,TI,"",""
188,188,Lukas,Reimann,"",NR,SVP,SG,"",""
189,189,Maximilian,Reimann,"",NR,SVP,AG,"",""
190,190,Mathias,Reynard,"",NR,PSS,VS,"",""
191,191,Alain,Ribaux,"",NR,"PLR.Les Libéraux-Radicaux",NE,"",""
192,192,"Natalie Simone",Rickli,"",NR,SVP,ZH,0.0,""
193,193,Kathy,Riklin,"",NR,CVP,ZH,"",""
194,194,"Jean-François",Rime,"",NR,UDC,FR,0.0,0.0
195,195,Markus,Ritter,"",NR,CVP,TI,https://infocube.ch/de/p/944515/dissler-josef,944515.0
196,196,Marco,Romano,"",NR,CVP,TI,http://infocube.ch/de/p/5413724/rossi-michele,5413724.0
197,197,"Stéphane",Rossini,"",NR,PSS,VS,0.0,0.0
198,198,Albert,"Rösti","",NR,SVP,BE,https://infocube.ch/de/p/188532/gfeller-peter,188532.0
199,199,Pierre,Rusconi,"",NR,UDC,TI,0.0,0.0
200,200,Rutz,"Gregor A.","",NR,SVP,ZH,0.0,0.0
201,201,Regula,Rytz,"",NR,GPS,BE,"",""
202,202,"Géraldine",Savary,"",SR,PSS,VD,"",""
203,203,Louis,Schelbert,"",NR,GPS,LU,https://infocube.ch/de/p/865001/beglinger-fedorova-caroline,865001.0
204,204,Silvia,Schenker,"",NR,SPS,BS,http://infocube.ch/de/p/5164353/bienlein-martin,5164353.0
205,205,Peter,Schilliger,"",NR,"FDP.Die Liberalen",LU,"",""
206,206,Urs,"Schläfli","",NR,CVP,SO,"",""
207,207,Martin,Schmid,"",SR,"FDP.Die Liberalen",GR,0.0,0.0
208,208,Barbara,Schmid-Federer,"",NR,CVP,ZH,https://infocube.ch/de/p/6243190/saxer-mark-arnold,6243190.0
209,209,Daniela,Schneeberger,"",NR,"FDP.Die Liberalen",BL,0.0,0.0
210,210,Ursula,"Schneider Schüttel","",NR,SPS,FR,0.0,0.0
