id,badgegeber_id,name,deklarierte_funktion,infocubeAPI,infocube_id,infoCubeDiff,noga,bemerkungen,,rote_flagge
375,129,Beat Zbinden,Persönlicher Mitarbeiter,521009,,,Pension funding,,,
130,130,0,0,0,0,,0,0,,0
376,130,0,0,0,0,,0,0,,0
131,131,Morten Keller,Gast,7218675,,,Freight transport by road,,,
377,131,Morten Keller,,7218675,,,0,,,
132,132,Kalim Ghulam,POWERcondens AG,6942944,6942944,,Wholesale of other machinery and equipment,,,
378,132,Barbara Züst,Persönliche Mitarbeiterin,4539710,,,0,,,
133,133,Christof Berger,Persönlicher Mitarbeiter,7011865,,,Pension funding,,,
379,133,Rosmarie Glauser,Verband Schweizer Assistenz- und Oberärztinnen- und Ärzte (VSAO),5219690,,,0,,,
134,134,Charles Buser,bauenschweiz,101711,,,0,,,
380,134,Urs Glutz,Swisspower,6849024,681493,,Activities of other holding companies,,,
135,135,0,0,0,0,,0,0,,0
381,135,0,0,0,0,,0,0,,0
136,136,Susanne Brunner,economiesuisse,65606,4088504,,Activities of business and employers membership organisations,,,
382,136,0,0,0,0,,0,0,,0
137,137,Paul Aenishänslin,PAE-PAC Public Affairs & Communications,1014565,1014565,,0,,,
383,137,Urs Näf,economiesuisse,914276,,,Activities of business and employers membership organisations,,,
138,138,Marcel Sennhauser,scienceindustries,5151082,1067385,,Activities of business and employers membership organisations,,,
384,138,Simone Fedele Wyss,Helvetia und Präsidentin Basler Ökonomen,0,,,0,,,
139,139,Bruno Weber-Gobet,Travail.Suisse,4302631,4302631,,0,,,
385,139,Maxwell Sigurd,Alprail,1022882,1022882,,0,,,
140,140,Dominique Reber,Hirzel.Neef.Schmid.Konsulenten,5318522,5285695,,Public relations and communication activities,,,
386,140,Claudia Bolla-Vincenz,Swisscable,791471,791471,,Manufacture of other electronic and electric wires and cables,,,
141,141,0,0,0,0,,0,0,,0
387,141,0,0,0,0,,0,0,,0
142,142,Luca Cirigliano,Schweizerischer Gewerkschaftsverbund,0,p25015040091,,0,,,
388,142,Alain Carrupt,Syndicom,1144647,1144647,,Activities of trade unions,,,
143,143,Hansjörg Fasnacht,Persönlicher Mitarbeiter,155871,155871,,Pension funding,,,
389,143,Gabi Badertscher,Burson-Marsteller AG,0,4957570,,Public relations and communication activities,,,
144,144,Maria Luisa Bernini Burkhard,swiss communication agency,6311215,6311215,,Advertising agencies,,,
390,144,Rudolf Wyder,Auslandschweizer Organisation,534341,534408,,"Cultural, education, scientific and research organisations",,,
145,145,Raymond Loretan,Gast,804598,5617064,,Freight transport by road,Beweis: http://www.srgd.ch/index.php?id=1319,,
391,145,Varuna Singh Auroi,Canton de Genève,0,,,Cantonal banks,,,
146,146,Thomas Moser,Kanton Bern,1086939,,,Cantonal banks,,,
392,146,Martin Muerner,Radio Berner Oberland AG,351106,5546035,,Radio broadcasting,,,
147,147,Judith Fischer,SUVA,5199429,6549004,,Accident insurance (SUVA),,,
393,147,Daniel Borner,Verband Schweiz. Schreinermeister und Möbelfabrikanten (VSSM),4646253,,,0,,,
148,148,Yves Weidmann,Schweizerische Bankiervereinigung (SBVg),5500705,5500705,,0,,,
394,148,Christian Zeyer,Swisscleantech,5579517,5579517,,Research and experimental development on social sciences and humanities,,,
149,149,Monika Maire-Hefti,Gast,906925,906925,,Freight transport by road,,,
395,149,Ernest Geiser,Gast,763627,,,Freight transport by road,,,
150,150,Thierry Burkart,Touring Club Suisse (TCS),4308851,4308851,,Other interest groups,,,
