id,zeile,vorname,nachname,geschlecht,rat,partei,kanton,infocube_url,infocube_id
75,75,Pankraz,Freitag,m,SR,FDP.Die Liberalen,GL,0,0
76,76,Oskar,Freysinger,m,NR,UDC,VS,,
77,77,Pierre-Alain,Fridez,m,NR,PSS,JU,0,0
78,78,Claudia,Friedl,w,SPS,SG,,0,0
79,79,Chantal,GalladÃ©,w,NR,SPS,ZH,0,0
80,80,Urs,Gasche,m,NR,BDP,BE,http://infocube.ch/de/p/4243104/de-weck-roger-francois-philippe,4243104
81,81,Josias F.,Gasser,m,NR,glp,GR,0,0
82,82,Andrea Martina,GeissbÃ¼hler,w,NR,SVP,BE,,
83,83,Jean-RenÃ©,Germanier,m,NR,PLR.Les LibÃ©raux-Radicaux,VS,http://infocube.ch/de/p/4860527/schlaepfer-martin,4860527
84,84,Johannes,Germann,m,SR,SVP,SH,0,0
85,85,Ulrich,Giezendanner,m,NR,SVP,AG,http://infocube.ch/de/p/869641/gehrken-michael,869641
86,86,Yvonne,Gilli,w,NR,GPS,SG,http://infocube.ch/de/p/33090/alther-rudolf,33090
87,87,Bastien,Girod,m,NR,GPS,ZH,,
88,88,Ida,Glanzmann-Hunkeler,w,NR,CVP,LU,,
89,89,Balthasar,GlÃ¤ttli,m,NR,GPS,ZH,,
90,90,Alois,GmÃ¼r,m,NR,CVP,SZ,,
91,91,Petra,GÃ¶ssi,w,NR,FDP.Die Liberalen,SZ,0,0
92,92,Konrad,Graber,m,SR,CVP,LU,0,0
93,93,Maya,Graf,w,NR,GPS,LU,,
94,94,Edith,Graf-Litscher,w,NR,SPS,TG,,
95,95,Jean-Pierre,Grin,m,NR,UDC,VD,http://infocube.ch/de/p/6238466/giunta-giovanni,6238466
96,96,Andreas,Gross,m,NR,SPS,ZH,,
97,97,JÃ¼rg,Grossen,m,NR,glp,BE,0,0
98,98,Hans,Grunder,m,NR,BDP,BR,http://infocube.ch/de/p/926284/koepe-christian-karoly,926284
99,99,Jean-Paul,Gschwind,m,NR,PDC,JU,,
100,100,Bernhard,Guhl,m,NR,BDP,AG,,
101,101,Felix,Gutzwiller,m,SR,FDP.Die Liberalen,ZH,https://infocube.ch/de/p/888313/brogli-urs/mandates,888313
102,102,Barbara Patricia,Gysi,w,NR,SPS,SG,,
103,103,Brigitte,HÃ¤berli-Koller,w,SR,CVP,TG,http://infocube.ch/de/p/864193/menzi-armin,864193
104,104,Philipp,Hadorn,m,NR,SPS,SO,,
105,105,Ursula,Haller Vannini,w,NR,BDP,BE,http://infocube.ch/de/search?q=Peter+St%C3%A4hli&defaultSearchEntryStatus=1&senden=Suchen,
106,106,Thomas,Hardegger,m,NR,SPS,ZH,,
107,107,HansjÃ¶rg,Hassler,m,NR,BDP,GR,0,0
108,108,Markus,Hausammann,m,NR,SVP,TG,,
109,109,Claude,HÃªche,m,SR,PSS,JU,,
110,110,Alfred,Heer,m,NR,SVP,ZH,,
111,111,Bea,Heim,w,NR,SPS,SO,,
112,112,Hans,Hess,m,SR,FDP.Die Liberalen,OW,,
113,113,Verena,Herzog,w,NR,SVP,TG,0,0
114,114,Lorenz,Hess,m,NR,BDP,BE,0,0
115,115,Hugues,Hiltpold,m,NR,PLR.Les LibÃ©raux-Radicaux,GE,https://infocube.ch/de/p/4757083/maudet-pierre-henri#activeMandates,4757083
116,116,Antonio,Hodgers,m,NR,PES,GE,0,0
117,117,Gabi,Huber,w,NR,FDP.Die Liberalen,UR,0,0
118,118,Ruth,Humbel,w,NR,CVP,AG,0,0
119,119,Thomas,Hurter,m,NR,SVP,SH,0,0
120,120,Markus,Hutter,m,NR,FDP.Die Liberalen,ZH,http://infocube.ch/de/p/505270/vogt-valentin,505270
121,121,RenÃ©,Imoberdorf,m,SR,CVP,VS,,
122,122,Maja,Ingold,w,NR,EVP,ZH,,
123,123,Claude,Janiak,m,SR,SPS,BL,,
124,124,Beat,Jans,m,NR,SPS,BS,http://infocube.ch/de/p/853105/wiener-freuler-daniel,853105
125,125,This,Jenny,m,SR,SVP,GL,,
126,126,Rudolf,Joder,m,NR,SVP,BE,https://infocube.ch/de/p/1065079/durst-marcel,1065079
127,127,Francine,John-Calame,w,NR,PES,NE,,
128,128,Daniel,Jositsch,m,NR,SPS,ZH,https://infocube.ch/de/p/713874/kyburz-peter#activeMandates,713874
129,129,Hans,Kaufmann,m,NR,SVP,ZH,,
130,130,Peter,Keller,m,NR,SVP,NW,0,0
131,131,Karin,Keller-Sutter,w,SR,FDP.Die Liberalen,SG,Kein Eintrag,
132,132,Margrit,Kessler,w,NR,glp,SG,,
133,133,Margareta,Kiener Nellen,w,NR,SPS,BE,,
134,134,Hans,Killer,m,NR,SVP,AG,https://infocube.ch/de/p/681493/glutz-urs,681493
135,135,HansjÃ¶rg,Knecht,m,NR,SVP,AG,0,0
136,136,Alexander,Kuprecht,m,SR,SVP,SZ,0,0
137,137,Martin,Landolt,m,NR,BDP,GL,,
138,138,Markus,Lehmann,m,NR,CVP,BS,,
